345.25,-35.00,58.00,-11.960,-13.080,5.990
132334,338.94,-15.44,42.81,-15.970,-13.130,8.820
132346,338.44,-15.94,42.88,-18.070,-15.610,7.460
132358,337.94,-15.81,42.75,-14.210,-15.740,9.990
132370,337.75,-15.50,42.50,-9.320,-14.860,8.890
132384,337.69,-14.81,42.13,-5.760,-11.810,9.170
132396,338.44,-12.81,41.19,-4.010,-8.120,6.320
132408,339.00,-11.88,40.75,-3.290,-6.280,7.800
132420,339.75,-10.88,40.31,-1.920,-4.710,7.310
132434,340.44,-10.00,39.75,1.840,-1.120,5.880
132446,341.12,-8.63,38.94,8.590,0.240,5.430
132458,340.44,-8.38,39.00,9.960,1.440,5.180
132470,339.63,-8.31,39.13,8.310,0.710,4.160
132484,339.38,-8.63,39.13,4.740,-1.170,2.760
132496,339.81,-9.75,39.25,5.300,-2.770,3.940
132509,340.06,-10.13,39.44,4.590,-2.780,5.060
132521,340.19,-10.56,39.56,4.790,-2.490,5.310
132535,339.94,-10.88,39.69,5.420,-2.830,5.740
132547,338.81,-11.88,40.25,2.590,-2.830,6.290
132559,338.19,-12.63,40.56,0.440,-4.200,7.950
132571,337.56,-13.50,40.94,-1.550,-6.300,7.250
132585,337.06,-14.38,41.31,-5.960,-9.240,9.420
132597,336.19,-16.19,41.88,-13.280,-11.800,10.180
132609,336.06,-16.81,41.94,-18.780,-14.900,8.660
132621,335.94,-17.12,41.88,-18.510,-16.120,7.970
132635,335.63,-17.25,41.69,-15.410,-16.590,8.860
132647,335.25,-17.06,41.31,-6.650,-11.120,10.080
132659,335.31,-16.19,40.94,-8.250,-10.070,9.250
132671,335.69,-15.31,40.44,-9.830,-8.420,7.910
132685,336.25,-14.44,40.00,-3.940,-4.720,7.870
132697,337.81,-12.56,39.13,0.490,-1.470,6.010
132709,338.56,-11.81,38.75,2.420,-1.770,6.340
132721,338.87,-11.19,38.44,9.840,-0.760,5.670
132735,338.50,-10.63,38.31,10.470,1.030,5.600
