frame,t_ms,wrist_x,wrist_y,index_mcp_x,index_mcp_y,middle_mcp_x,middle_mcp_y,ring_mcp_x,ring_mcp_y,hand_score,handedness
298,10077.367,0.044358,0.463954,0.155035,0.366027,0.103084,0.387364,0.057498,0.426333,0.9803,Right
299,10110.678,0.101733,0.561771,0.219176,0.381904,0.174776,0.379654,0.127705,0.409443,0.9937,Right
300,10143.989,0.161204,0.561601,0.232255,0.380079,0.211668,0.381881,0.188225,0.405884,0.9459,Right
301,10177.311,0.188420,0.533320,0.348920,0.345881,0.308047,0.347020,0.266102,0.378619,0.9875,Right
302,10210.622,0.219965,0.551312,0.384846,0.371936,0.351656,0.364482,0.313655,0.391861,0.9993,Right
303,10243.933,0.245989,0.545969,0.423053,0.371830,0.392085,0.365697,0.356850,0.396795,0.9990,Right
304,10277.256,0.272103,0.545856,0.456609,0.371299,0.427531,0.374160,0.391241,0.410528,0.9979,Right
305,10310.567,0.293260,0.554648,0.478935,0.382972,0.452058,0.384047,0.417573,0.419815,0.9989,Right
306,10343.878,0.296837,0.551301,0.488098,0.395083,0.465662,0.397208,0.434683,0.433640,0.9982,Right
307,10377.200,0.303811,0.569881,0.494085,0.415986,0.471008,0.413600,0.439168,0.450403,0.9984,Right
308,10410.511,0.293950,0.579586,0.487075,0.415674,0.464862,0.422335,0.432800,0.460410,0.9964,Right
309,10443.822,0.286649,0.586153,0.478754,0.427588,0.454989,0.436826,0.421954,0.475990,0.9968,Right
310,10477.144,0.275573,0.597656,0.459778,0.443777,0.437153,0.449459,0.403696,0.485941,0.9965,Right
311,10510.456,0.263030,0.611606,0.437517,0.470813,0.414045,0.478664,0.382577,0.513691,0.9958,Right
312,10543.767,0.240642,0.634585,0.417716,0.483417,0.392851,0.490188,0.359324,0.526986,0.9971,Right
313,10577.089,0.224327,0.657422,0.397200,0.494373,0.368728,0.506913,0.332885,0.547351,0.9965,Right
314,10610.400,0.212047,0.679099,0.383054,0.511125,0.348684,0.530387,0.310153,0.576255,0.9964,Right
315,10643.711,0.193456,0.698872,0.352923,0.539570,0.316431,0.567738,0.279695,0.623309,0.9984,Right
316,10677.033,0.176568,0.719762,0.317663,0.574188,0.280996,0.612544,0.246582,0.671582,0.9982,Right
317,10710.344,0.168879,0.765909,0.285195,0.613743,0.244549,0.654657,0.208177,0.716695,0.9989,Right
318,10743.656,0.154789,0.780384,0.253482,0.669714,0.217264,0.715064,0.186355,0.772731,0.9982,Right
319,10776.967,0.146454,0.807370,0.219591,0.719092,0.185211,0.768485,0.160034,0.824731,0.9973,Right
320,10810.289,0.121798,0.857390,0.194718,0.758686,0.161877,0.809622,0.137290,0.864733,0.9909,Right
321,10843.600,0.112216,0.865541,0.175528,0.791572,0.138087,0.839581,0.111786,0.893081,0.9956,Right
322,10876.911,0.107206,0.905240,0.160382,0.816767,0.128586,0.850984,0.104292,0.891192,0.9874,Right
323,10910.233,0.096458,0.957274,0.155589,0.848812,0.151589,0.882436,0.147230,0.917170,0.5431,Right
324,10943.544,,,,,,,,,,
325,10976.856,,,,,,,,,,
326,11010.178,,,,,,,,,,
327,11043.489,,,,,,,,,,
328,11076.800,,,,,,,,,,
329,11110.122,,,,,,,,,,
330,11143.433,,,,,,,,,,
331,11176.744,,,,,,,,,,
332,11210.067,,,,,,,,,,
333,11243.378,,,,,,,,,,
334,11276.689,,,,,,,,,,
335,11310.011,,,,,,,,,,
336,11343.322,,,,,,,,,,
337,11376.633,,,,,,,,,,
338,11409.956,,,,,,,,,,
339,11443.267,,,,,,,,,,
340,11476.578,,,,,,,,,,
341,11509.889,,,,,,,,,,
342,11543.211,,,,,,,,,,
343,11576.522,,,,,,,,,,
344,11609.833,,,,,,,,,,
