265.81,-45.94,9.81,-6.970,-1.820,6.140
126660,342.62,-59.94,15.19,-9.220,-2.590,6.750
126674,341.63,-61.00,14.06,-9.420,-1.380,6.850
126686,337.25,-63.75,9.75,-5.540,5.820,5.310
126698,336.19,-64.69,11.88,-11.410,-3.400,6.110
126710,336.19,-64.75,10.94,-7.080,-5.360,3.670
126724,336.12,-64.94,10.13,-7.210,-2.580,4.280
126736,336.12,-64.06,9.31,-13.230,-4.300,5.380
126748,336.06,-63.87,7.69,-14.300,-6.680,3.640
126760,334.81,-63.94,4.87,-15.280,-3.230,4.620
126774,332.19,-64.25,1.62,-10.980,-2.770,4.580
126786,326.31,-65.94,-3.12,-6.930,3.340,6.350
126799,324.88,-65.62,-3.87,-7.210,-0.900,5.680
126811,324.19,-65.00,-5.87,-6.590,-2.470,4.900
126825,323.94,-64.25,-7.62,-8.270,-0.520,4.510
126837,323.81,-62.13,-9.56,-9.470,0.120,3.980
126875,325.62,-58.75,-10.44,-10.540,1.070,5.100
126887,327.87,-56.81,-9.25,-9.510,0.580,4.000
126899,328.56,-55.31,-9.25,-8.380,-0.200,3.460
126911,328.81,-52.94,-9.19,-11.060,-0.480,5.750
126925,329.00,-50.56,-9.19,-14.580,1.080,8.620
126937,330.06,-49.44,-6.25,-9.450,-2.090,10.310
126949,330.50,-48.38,-4.87,-10.250,-1.700,9.810
126961,330.94,-47.00,-3.69,-9.870,-1.970,9.070
126975,330.94,-45.06,-3.12,-10.030,-1.710,9.510
126987,331.56,-41.19,-1.00,-11.200,-1.080,10.380
126999,332.37,-39.50,0.00,-9.930,-0.150,9.990
127011,333.25,-37.75,0.94,-9.670,-1.210,9.090
127025,334.06,-36.06,1.75,-9.670,-1.650,8.990
127037,334.87,-32.50,3.37,-9.790,-1.530,9.360
127049,335.19,-30.81,4.12,-8.450,-1.380,9.550
127061,335.44,-29.44,4.69,-7.520,-1.490,9.340
127075,335.63,-28.19,5.06,-6.710,-1.000,8.990
127087,335.63,-25.69,5.56,-5.510,0.250,7.210
127100,335.44,-24.19,5.69,-5.110,0.320,6.900
127112,335.19,-22.56,5.81,-5.150,0.400,6.200
127126,334.94,-20.88,6.00,-3.580,0.710,5.420
127138,334.37,-17.37,6.44,-2.070,0.820,5.790
127150,334.06,-15.94,6.69,-0.960,0.940,5.620
127162,333.81,-14.69,7.00,0.090,1.200,6.240
127176,333.69,-13.56,7.31,0.250,0.920,6.100
127188,333.56,-11.56,7.87,-0.170,0.890,6.280
127200,333.56,-10.56,8.19,-0.150,0.670,6.150
127212,333.50,-9.63,8.50,0.020,0.580,6.530
127226,333.38,-8.69,8.81,0.580,0.560,7.150
127238,333.06,-7.12,9.38,1.210,-0.760,7.030
127250,332.87,-6.44,9.63,1.280,-0.720,7.330
127262,332.62,-5.87,9.94,0.510,-1.550,7.900
127276,332.37,-5.31,10.19,0.080,-1.540,9.210
127288,331.63,-4.56,10.56,0.520,-1.720,8.620
127300,331.13,-4.37,10.75,1.790,-0.980,7.690
127312,330.87,-4.19,11.00,4.140,-0.780,7.250
127326,330.81,-4.00,11.38,3.490,-1.570,6.340
127338,331.38,-2.81,12.25,1.990,-1.870,9.340
127351,331.69,-2.19,12.63,0.430,-1.850,9.290
127363,332.00,-1.62,13.06,-0.090,-1.600,9.720
127377,332.19,-1.12,13.44,-0.810,-1.350,10.100
127389,332.12,-0.50,14.31,0.310,-0.890,9.760
127401,332.00,-0.25,14.75,0.100,-1.900,10.120
127413,331.87,-0.06,15.31,-0.390,-1.410,11.060
127427,331.75,0.00,15.75,-0.820,-1.120,11.200
127439,331.38,0.25,16.50,-1.380,-1.100,11.230
127451,331.00,0.37,16.81,-0.970,-1.240,10.790
127463,330.44,0.56,17.06,-1.380,-1.080,10.670
127477,329.94,0.69,17.25,-1.180,-0.930,9.490
127489,328.37,0.75,17.37,-1.590,-0.550,8.420
127501,327.44,0.56,17.31,-2.060,0.410,7.830
127513,326.50,0.37,17.31,-0.670,-1.640,7.750
127527,325.44,0.06,17.37,0.260,-1.500,7.350
127539,323.75,-0.69,17.44,0.000,-5.550,8.080
127551,323.13,-1.06,17.50,1.800,-9.370,10.050
127563,322.63,-1.50,17.62,3.000,-11.670,10.310
127577,322.44,-1.87,17.81,2.970,-11.820,10.660
127589,322.25,-2.50,17.19,-0.880,-11.620,13.040
127601,322.25,-3.06,16.31,1.380,-11.780,11.040
127613,322.63,-3.50,15.69,1.580,-11.690,10.910
127627,323.13,-3.87,15.25,-1.930,-7.420,10.160
127639,324.44,-4.87,14.31,1.810,-4.390,6.850
127652,325.13,-4.56,14.19,6.090,-4.520,5.930
127664,325.87,-4.06,14.19,-0.560,-0.200,8.640
127678,326.81,-3.81,14.38,0.760,2.540,9.480
127690,328.31,-3.44,14.75,-4.750,5.170,10.850
127702,328.81,-3.31,14.94,-5.930,5.700,10.040
127714,329.19,-3.31,15.06,-5.890,6.410,9.420
127728,329.38,-3.19,15.19,-3.720,7.020,8.880
127740,329.56,-2.31,15.75,-2.820,4.860,8.490
127752,329.38,-1.94,15.94,-2.770,3.570,7.340
127764,328.88,-1.56,16.25,-1.020,2.010,5.190
127778,328.12,-1.44,16.56,-2.390,1.710,7.550
127790,326.19,-2.06,16.69,-0.300,-3.850,7.660
127802,325.06,-2.50,16.62,0.770,-8.740,9.110
127814,324.12,-3.00,16.62,-1.100,-10.690,11.690
127828,323.75,-3.62,16.69,0.320,-12.430,9.770
127840,323.56,-4.25,16.81,-0.820,-14.690,11.540
127878,324.31,-4.00,15.38,0.490,-12.290,9.930
127890,326.00,-3.37,14.44,-5.100,-8.360,8.700
